municipio,partido,votos,porcentaje
GENERAL PAZ,UNION Y LIBERTAD,64.0,0.86
GENERAL PAZ,POTENCIA,37.0,0.49
GENERAL PAZ,MOVIMIENTO AVANZADA SOCIALISTA,21.0,0.28
GENERAL PAZ,POLITICA OBRERA,19.0,0.25
GENERAL PAZ,CONSTRUYENDO PORVENIR,16.0,0.21
GENERAL PAZ,PARTIDO TIEMPO DE TODOS,16.0,0.21
GENERAL PAZ,VALORES REPUBLICANOS,11.0,0.14
GENERAL PAZ,FRENTE PATRIOTA FEDERAL,8.0,0.1
GENERAL PAZ,PARTIDO LIBERTARIO,1.0,0.01
GENERAL PAZ,ES CON VOS ES CON NOSOTROS,0.0,0.0
GENERAL PAZ,UNION LIBERAL,0.0,0.0
GENERAL PINTO,FUERZA PATRIA,3945.0,56.28
GENERAL PINTO,LA LIBERTAD AVANZA,1586.0,22.62
GENERAL PINTO,SOMOS BUENOS AIRES,1311.0,18.7
GENERAL PINTO,UNION Y LIBERTAD,49.0,0.69
GENERAL PINTO,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,46.0,0.65
GENERAL PINTO,NUEVOS AIRES,21.0,0.29
GENERAL PINTO,FRENTE PATRIOTA FEDERAL,10.0,0.14
GENERAL PINTO,POTENCIA,9.0,0.12
GENERAL PINTO,ES CON VOS ES CON NOSOTROS,7.0,0.09
GENERAL PINTO,MOVIMIENTO AVANZADA SOCIALISTA,7.0,0.09
GENERAL PINTO,POLITICA OBRERA,6.0,0.08
GENERAL PINTO,CONSTRUYENDO PORVENIR,4.0,0.05
GENERAL PINTO,PARTIDO TIEMPO DE TODOS,4.0,0.05
GENERAL PINTO,VALORES REPUBLICANOS,4.0,0.05
GENERAL PINTO,PARTIDO LIBERTARIO,0.0,0.0
GENERAL PINTO,UNION LIBERAL,0.0,0.0
GENERAL PUEYRREDON,LA LIBERTAD AVANZA,138337.0,52.05
GENERAL PUEYRREDON,FUERZA PATRIA,97602.0,36.72
GENERAL PUEYRREDON,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,8803.0,3.31
GENERAL PUEYRREDON,SOMOS BUENOS AIRES,4429.0,1.66
GENERAL PUEYRREDON,POTENCIA,2885.0,1.08
GENERAL PUEYRREDON,UNION Y LIBERTAD,2646.0,0.99
GENERAL PUEYRREDON,PARTIDO LIBERTARIO,2246.0,0.84
GENERAL PUEYRREDON,MOVIMIENTO AVANZADA SOCIALISTA,2205.0,0.82
GENERAL PUEYRREDON,POLITICA OBRERA,1474.0,0.55
GENERAL PUEYRREDON,CONSTRUYENDO PORVENIR,1453.0,0.54
GENERAL PUEYRREDON,FRENTE PATRIOTA FEDERAL,933.0,0.35
GENERAL PUEYRREDON,VALORES REPUBLICANOS,867.0,0.32
GENERAL PUEYRREDON,PARTIDO TIEMPO DE TODOS,801.0,0.3
