municipio,partido,votos,porcentaje
CAÑUELAS,CONSTRUYENDO PORVENIR,69.0,0.2
CAÑUELAS,PARTIDO TIEMPO DE TODOS,57.0,0.16
CAÑUELAS,ES CON VOS ES CON NOSOTROS,16.0,0.04
COLON,FUERZA PATRIA,4667.0,39.15
COLON,LA LIBERTAD AVANZA,3275.0,27.47
COLON,ESP. ABIERTO PARA EL DES. Y LA INT. SOCIAL,1197.0,10.04
COLON,FRENTE PATRIOTA FEDERAL,792.0,6.64
COLON,POTENCIA,678.0,5.68
COLON,UNION Y LIBERTAD,557.0,4.67
COLON,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,309.0,2.59
COLON,PARTIDO LIBERTARIO,204.0,1.71
COLON,MOVIMIENTO AVANZADA SOCIALISTA,64.0,0.53
COLON,UNION LIBERAL,49.0,0.41
COLON,POLITICA OBRERA,43.0,0.36
COLON,VALORES REPUBLICANOS,32.0,0.26
COLON,CONSTRUYENDO PORVENIR,18.0,0.15
COLON,ES CON VOS ES CON NOSOTROS,18.0,0.15
COLON,PARTIDO TIEMPO DE TODOS,17.0,0.14
CORONEL DE MARINA L. ROSALES,LA LIBERTAD AVANZA,15254.0,48.43
CORONEL DE MARINA L. ROSALES,FUERZA PATRIA,7434.0,23.6
CORONEL DE MARINA L. ROSALES,POTENCIA,3824.0,12.14
CORONEL DE MARINA L. ROSALES,UNION Y LIBERTAD,1692.0,5.37
CORONEL DE MARINA L. ROSALES,SOMOS BUENOS AIRES,1492.0,4.73
CORONEL DE MARINA L. ROSALES,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,958.0,3.04
CORONEL DE MARINA L. ROSALES,ES CON VOS ES CON NOSOTROS,199.0,0.63
CORONEL DE MARINA L. ROSALES,MOVIMIENTO AVANZADA SOCIALISTA,153.0,0.48
CORONEL DE MARINA L. ROSALES,VALORES REPUBLICANOS,122.0,0.38
CORONEL DE MARINA L. ROSALES,PARTIDO TIEMPO DE TODOS,117.0,0.37
CORONEL DE MARINA L. ROSALES,CONSTRUYENDO PORVENIR,91.0,0.28
CORONEL DE MARINA L. ROSALES,POLITICA OBRERA,87.0,0.27
CORONEL DE MARINA L. ROSALES,FRENTE PATRIOTA FEDERAL,71.0,0.22
CORONEL DE MARINA L. ROSALES,PARTIDO LIBERTARIO,1.0,0.01
CORONEL DE MARINA L. ROSALES,UNION LIBERAL,1.0,0.01
CORONEL DORREGO,LA LIBERTAD AVANZA,3153.0,36.91
CORONEL DORREGO,FUERZA PATRIA,2497.0,29.23
CORONEL DORREGO,SOMOS BUENOS AIRES,2493.0,29.18
CORONEL DORREGO,UNION Y LIBERTAD,153.0,1.79
CORONEL DORREGO,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,86.0,1.0
CORONEL DORREGO,POTENCIA,34.0,0.39
CORONEL DORREGO,MOVIMIENTO AVANZADA SOCIALISTA,33.0,0.38
CORONEL DORREGO,PARTIDO TIEMPO DE TODOS,24.0,0.28
CORONEL DORREGO,POLITICA OBRERA,23.0,0.26
CORONEL DORREGO,VALORES REPUBLICANOS,20.0,0.23
CORONEL DORREGO,FRENTE PATRIOTA FEDERAL,16.0,0.18
CORONEL DORREGO,CONSTRUYENDO PORVENIR,9.0,0.1
CORONEL DORREGO,UNION LIBERAL,1.0,0.01
CORONEL DORREGO,ES CON VOS ES CON NOSOTROS,0.0,0.0
CORONEL DORREGO,PARTIDO LIBERTARIO,0.0,0.0
CORONEL PRINGLES,LA LIBERTAD AVANZA,5376.0,47.17
CORONEL PRINGLES,FUERZA PATRIA,3259.0,28.6
CORONEL PRINGLES,SOMOS BUENOS AIRES,1672.0,14.67
CORONEL PRINGLES,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,658.0,5.77
